Sample_Location,X,Y,pH,SiO2,Al2O3,Fe2O3,CaO,MgO,Na2O,K2O,Cr2O3,TiO2,MnO,P2O5,SrO,BaO,ZrO2,Ag,As,B,Be,Bi,Cd,Co,Cu,Ga,Hg,La,Li,Mo,Ni,Pb,S,Sb,Sc,Th,Tl,U,V,W,Zn
SM21_H10,317342,477973,10.199,33,8.79,1.08,32.6,2.49,0.33,0.53,0.002,0.23,0.29,0.02,0.05,0.56,0,0.00003,0.0004,0.005,0.00112,0.0002,0.00005,0.0002,0.0015,0.001,0.0001,0.004,0.008,0.0001,0.0006,0.0098,0.41,0.0005,0.001,0.002,0.001,0.001,0.0007,0.001,0.0098
SM21_H11,317342,478028,9.271,28.9,9.26,1.46,33.9,2.23,0.28,0.37,0.004,0.23,0.3,0.04,0.05,0.65,0,0.00004,0.0004,0.002,0.001,0.0002,0.00005,0.0002,0.0018,0.001,0.0001,0.004,0.007,0.0001,0.0007,0.007,0.28,0.0003,0.0011,0.002,0.001,0.001,0.0008,0.001,0.0079
SM21_H12,317314,478017,10.583,38.6,6.01,1.07,29.1,1.39,0.37,0.68,0.005,0.25,0.16,0.08,0.04,0.34,0,0.00002,0.0005,0.005,0.00077,0.0002,0.00005,0.0002,0.0015,0.001,0.0001,0.003,0.005,0.0001,0.0007,0.0013,0.81,0.0002,0.0006,0.002,0.001,0.001,0.0011,0.001,0.0026
SM21_H13,317267,477927,10.911,47.6,7.32,1.82,20.2,1.6,0.61,0.97,0.005,0.32,0.17,0.1,0.02,0.16,0,0.00002,0.0008,0.004,0.00069,0.0002,0.00005,0.0004,0.002,0.001,0.0001,0.002,0.004,0.0001,0.0009,0.0039,0.99,0.0002,0.0005,0.002,0.001,0.001,0.0013,0.001,0.0059
SM21_H14,317328,478086,10.121,26.1,8.44,1.55,34.5,2.09,0.22,0.4,0.006,0.19,0.31,0.02,0.07,0.68,0,0.00002,0.0004,0.006,0.00085,0.0003,0.00005,0.0003,0.0027,0.001,0.0001,0.003,0.007,0.0001,0.0005,0.0033,1.81,0.0002,0.001,0.002,0.001,0.001,0.0007,0.001,0.0067
SM21_H15,317270,478101,10.335,24.8,7.45,1.03,35.8,1.72,0.21,0.31,0.004,0.15,0.28,0.02,0.07,0.78,0,0.00002,0.0005,0.007,0.0008,0.0004,0.00005,0.0003,0.0019,0.001,0.0001,0.003,0.006,0.0001,0.0004,0.004,2.26,0.0002,0.001,0.002,0.001,0.001,0.0005,0.001,0.006
SM21_H16,317262,478044,9.994,43.6,9,3.71,20.2,1.64,0.55,1.3,0.007,0.38,0.18,0.08,0.03,0.25,0,0.00005,0.0016,0.002,0.00057,0.0004,0.00006,0.0006,0.0027,0.001,0.0001,0.002,0.004,0.0001,0.0014,0.0177,0.22,0.0006,0.0006,0.002,0.001,0.001,0.0016,0.001,0.0277
SM21_H17,317149,478058,10.001,29.1,7.99,0.89,35.5,2.21,0.24,0.32,0.002,0.19,0.24,0.01,0.04,0.26,0,0.00002,0.0007,0.003,0.00091,0.0004,0.00005,0.0002,0.0014,0.001,0.0001,0.003,0.006,0.0001,0.0004,0.0127,0.31,0.0002,0.0008,0.002,0.001,0.001,0.0004,0.001,0.0104
SM21_H18,317183,478137,9.168,34.48,9.83,5.12,42.23,2.81,0.29,0.54,0,0.28,0.5,0.09,0.07,0.52,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0.01,0,0.05
SM21_H19,317103,478075,9.787,25.4,8.09,0.81,39.3,1.69,0.22,0.23,0.002,0.18,0.19,0.02,0.03,0.25,0,0.00007,0.0007,0.003,0.00091,0.0004,0.00008,0.0002,0.0013,0.001,0.0001,0.003,0.005,0.0001,0.0003,0.0164,0.31,0.0002,0.0009,0.002,0.001,0.001,0.0006,0.001,0.0136
SM21_H20,317123,478124,10.051,26.2,7.96,1.34,37.1,2.04,0.22,0.29,0.002,0.19,0.23,0.03,0.04,0.36,0,0.00011,0.0007,0.003,0.00089,0.0007,0.00006,0.0003,0.002,0.001,0.0001,0.004,0.006,0.0001,0.0006,0.0359,0.31,0.0004,0.0009,0.002,0.001,0.001,0.0006,0.001,0.0227
SM21_H21,317064,478143,10.309,26.9,8.3,0.74,36.9,1.86,0.23,0.33,0.002,0.2,0.21,0.02,0.04,0.38,0,0.00004,0.0006,0.005,0.00094,0.0005,0.00005,0.0002,0.0018,0.001,0.0001,0.004,0.006,0.0001,0.0003,0.0192,0.7,0.0002,0.001,0.002,0.001,0.001,0.0005,0.001,0.0095
SM21_H22,317080,478011,10.372,35.7,8.63,1.86,29.8,2.53,0.46,0.72,0.002,0.25,0.2,0.06,0.04,0.31,0,0.00005,0.0007,0.005,0.00092,0.0005,0.00005,0.0003,0.0019,0.001,0.0001,0.003,0.006,0.0001,0.0007,0.0122,0.41,0.0002,0.0008,0.002,0.001,0.001,0.0008,0.001,0.0117
SM21_H23,317160,477982,10.244,33,7.47,1.46,34.1,1.85,0.31,0.52,0.002,0.2,0.22,0.04,0.05,0.57,0,0.00006,0.0007,0.006,0.00098,0.0004,0.00005,0.0003,0.0019,0.001,0.0001,0.004,0.007,0.0001,0.0005,0.0155,0.64,0.0003,0.0008,0.002,0.001,0.001,0.0007,0.001,0.0143
SM21_H24,317217,477962,10.543,30,6.45,1.29,34.6,1.7,0.25,0.4,0.002,0.15,0.24,0.03,0.04,0.29,0,0.00002,0.0007,0.005,0.00091,0.0004,0.00005,0.0002,0.0016,0.001,0.0001,0.003,0.005,0.0001,0.0005,0.0045,0.69,0.0002,0.0007,0.002,0.001,0.001,0.0007,0.001,0.0043
