Sample_Location,X,Y,pH,SiO2,Al2O3,Fe2O3,CaO,MgO,Na2O,K2O,Cr2O3,TiO2,MnO,P2O5,SrO,BaO,ZrO2,Ag,As,B,Be,Bi,Cd,Co,Cu,Fe,Ga,Hg,La,Li,Mo,Na,Ni,Pb,S,Sb,Sc,Th,Tl,U,V,W,Zn
SM21_C11,347725,470729,9.367,48.97,12.21,5.06,26.95,1.64,0.41,0.98,0.01,0.63,0.49,0.1,0.04,0.13,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0.01,0,0.11
SM21_C12,347770,470725,10.275,37,10.6,1.34,30.8,1.38,0.25,0.51,0.003,0.57,0.24,0.03,0.03,0.11,0,0.00002,0.0003,0.004,0.00118,0.0002,0.00006,0.0002,0.0017,0.000089,0.001,0.0001,0.003,0.006,0.0001,0.00001,0.0007,0.0138,0.39,0.0004,0.001,0.002,0.001,0.001,0.001,0.001,0.0174
SM21_C13,347680,470753,9.965,52.2,10.35,1.8,19.65,1.38,0.51,1.02,0.005,0.63,0.35,0.07,0.03,0.09,0,0.00002,0.0003,0.004,0.00086,0.0002,0.00005,0.0002,0.0018,0.000114,0.001,0.0001,0.003,0.005,0.0001,0.000011,0.0008,0.0092,0.4,0.0002,0.0008,0.002,0.001,0.001,0.0015,0.001,0.0145
SM21_C14,347727,470762,10.73,41.1,10.2,1.88,29.4,1.3,0.33,0.71,0.003,0.48,0.32,0.03,0.03,0.1,0,0.00003,0.0004,0.004,0.00102,0.0002,0.00006,0.0002,0.0016,0.000124,0.001,0.0001,0.003,0.006,0.0001,0.000011,0.0006,0.0143,0.44,0.0004,0.0009,0.002,0.001,0.001,0.0011,0.001,0.0179
SM21_C15,347672,470785,10.711,40,9.69,1.56,27.6,1.19,0.34,0.68,0.004,0.46,0.24,0.05,0.03,0.08,0,0.00002,0.0003,0.003,0.00078,0.0002,0.00005,0.0002,0.002,0.000099,0.001,0.0001,0.003,0.005,0.0001,0.00001,0.0008,0.0057,0.35,0.0003,0.0008,0.002,0.001,0.001,0.001,0.001,0.0087
SM21_C16,347694,470796,9.921,48.97,12.21,5.11,33.71,1.53,0.29,1.05,0.01,0.55,0.52,0.07,0.04,0.09,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08,0,0,0,0,0,0.01,0,0
SM21_C17,347713,470809,10.74,42.37,10.77,3.19,36.49,1.67,0.24,0.64,0,0.81,0.37,0.07,0.04,0.11,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0.01,0,0.07
SM21_C18,347636,470792,9.888,40.6,9.51,1.3,26.3,1.44,0.39,0.79,0.004,0.68,0.44,0.05,0.03,0.08,0,0.00002,0.0002,0.004,0.00083,0.0002,0.00005,0.0001,0.0015,0.000083,0.001,0.0001,0.002,0.006,0.0001,0.000014,0.0005,0.0038,0.33,0.0002,0.0008,0.002,0.001,0.001,0.0012,0.001,0.0058
SM21_C19,347675,470826,9.12,39.3,8.91,1.92,25.8,1.46,0.3,0.66,0.003,0.56,0.22,0.06,0.03,0.09,0,0.0002,0.0004,0.005,0.00105,0.0002,0.00036,0.0002,0.0021,0.000132,0.001,0.0001,0.003,0.005,0.0001,0.00001,0.0006,0.0358,0.31,0.0021,0.0007,0.002,0.001,0.001,0.0011,0.001,0.0512
SM21_C20,347690,470864,10.295,35.2,8.72,1.16,34.7,1.44,0.2,0.41,0.002,0.61,0.17,0.03,0.03,0.09,0,0.00002,0.0002,0.005,0.0011,0.0002,0.00007,0.0001,0.0015,0.000078,0.001,0.0001,0.003,0.005,0.0001,0.00001,0.0005,0.0114,0.5,0.006,0.0009,0.002,0.001,0.001,0.0008,0.001,0.0181
SM21_C21,347628,470914,9.48,43.2,9.71,2.71,22.6,1.2,0.32,0.92,0.005,0.56,0.24,0.08,0.02,0.12,0,0.00041,0.0008,0.004,0.00092,0.0002,0.00034,0.0004,0.0045,0.000196,0.001,0.0001,0.003,0.005,0.0001,0.000009,0.0013,0.123,0.43,0.0016,0.0007,0.002,0.001,0.001,0.0015,0.001,0.21
SM21_C22,347640,470946,10.454,30.4,8.66,0.62,37.5,1.58,0.12,0.27,0.002,0.52,0.19,0.02,0.03,0.1,0,0.00002,0.0002,0.008,0.00115,0.0002,0.00005,0.0001,0.0011,0.000044,0.001,0.0001,0.003,0.006,0.0001,0.00001,0.0006,0.0048,0.48,0.0002,0.0009,0.002,0.001,0.001,0.0007,0.001,0.0079
SM21_C23,347589,470974,10.056,32.9,9.84,0.82,34,1.42,0.18,0.35,0.002,0.45,0.14,0.04,0.04,0.09,0,0.00005,0.0004,0.006,0.0012,0.0002,0.00008,0.0001,0.0012,0.000057,0.001,0.0001,0.003,0.008,0.0001,0.00001,0.0005,0.01,0.45,0.0009,0.0011,0.002,0.001,0.001,0.0005,0.001,0.0192
SM21_C24,347603,470987,10.122,39.7,9.1,1.74,27.2,1.18,0.26,0.58,0.003,0.51,0.34,0.07,0.03,0.13,0,0.00002,0.0005,0.004,0.00117,0.0002,0.00005,0.0002,0.0021,0.000114,0.001,0.0001,0.003,0.004,0.0001,0.000008,0.0008,0.075,0.42,0.0004,0.0009,0.002,0.001,0.001,0.0012,0.001,0.0102
SM21_C25,347556,471035,9.184,32.6,8.18,0.84,33.3,1.32,0.18,0.34,0.002,0.42,0.17,0.03,0.03,0.1,0,0.00002,0.0002,0.005,0.00115,0.0002,0.00005,0.0001,0.0009,0.000055,0.001,0.0001,0.003,0.004,0.0001,0.000008,0.0004,0.0029,0.63,0.0004,0.0008,0.002,0.001,0.001,0.0006,0.001,0.0046
SM21_C26,347585,471023,9.265,31.5,8.11,0.67,34.1,1.84,0.19,0.28,0.002,0.48,0.16,0.01,0.03,0.1,0,0.00002,0.0003,0.005,0.00114,0.0002,0.00005,0.0001,0.0008,0.000045,0.001,0.0001,0.003,0.005,0.0001,0.000008,0.0004,0.0034,0.61,0.0004,0.0009,0.002,0.001,0.001,0.0006,0.001,0.0041
SM21_C27,347542,471064,10.24,29.9,8.52,0.89,36.2,1.65,0.22,0.25,0.002,0.81,0.14,0.01,0.03,0.09,0,0.00002,0.0002,0.005,0.00121,0.0002,0.00005,0.0001,0.0005,0.000062,0.001,0.0001,0.003,0.004,0.0001,0.000012,0.0002,0.001,0.57,0.0005,0.0009,0.002,0.001,0.001,0.001,0.001,0.0012
SM21_C28,347571,471080,9.751,35.2,7.67,0.81,32.4,2.01,0.24,0.37,0.002,0.46,0.17,0.03,0.03,0.1,0,0.00002,0.0004,0.005,0.00109,0.0002,0.00005,0.0001,0.0008,0.000054,0.001,0.0001,0.003,0.004,0.0001,0.000007,0.0005,0.0042,0.5,0.0003,0.0008,0.002,0.001,0.001,0.0006,0.001,0.0047
SM21_C29,347527,471136,9.424,43,7.71,1.01,26.7,1.74,0.48,0.68,0.003,0.41,0.16,0.02,0.03,0.13,0,0.00002,0.0002,0.004,0.00073,0.0002,0.00005,0.0002,0.0009,0.000064,0.001,0.0001,0.003,0.004,0.0001,0.000013,0.0005,0.0046,0.39,0.0002,0.0006,0.002,0.001,0.001,0.0006,0.001,0.0056
