pH_level,SiO2,Al2O3,Fe2O3,CaO,MgO,Na2O,K2O,Cr2O3,TiO2,MnO,P2O5,SrO,BaO,Ag,As,B,Be,Bi,Cd,Co,Cu,Ga,Hg,La,Li,Mo,Ni,Pb,S,Sb,Sc,Th,Tl,U,V,W,Zn,Akermanite,Albite,Aluminium oxide hydroxide,Anhydrite,Aragonite,Biotite,Birnessite,Calcite,Clinochlore,Cuspidine,Diaspore,Dickite,Gehlenite,Goethite,Haematite,Illite,Kaolinite,Langite,Linnaeite,Magnesioferrite,Melilite,Merwinite,Microcline,Mullite,Muscovite,Orthoclase,Orthopyroxene,Periclase,Phengite,Pseudowollastonite,Quartz,Staurolite,Valentinite
10.66,32.8,8.82,1.12,37.2,2.34,0.28,0.49,0.002,0.21,0.23,0.02,0.04,0.53,3.00E-05,0.0006,0.007,0.00114,0.0002,5.00E-05,0.0001,0.0017,0.001,0.0001,0.004,0.008,0.0001,0.0005,0.0074,7.40E-01,0.0003,0.001,0.002,0.001,0.001,0.0006,0.001,0.0073,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8.381,69.4,6.95,3.81,2.64,0.91,0.86,1.72,0.01,0.45,0.1,0.1,0.01,0.08,2.00E-05,0.0016,0.001,0.00018,0.0002,5.00E-05,0.0005,0.0014,0.001,0.0001,0.001,0.002,0.0001,0.0013,0.0039,7.00E-02,0.0005,0.0002,0.002,0.001,0.001,0.0018,0.001,0.0061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
8.873,69.4,7.17,4.29,3.79,1.12,0.93,1.69,0.01,0.47,0.12,0.1,0.01,0.08,2.00E-05,0.0019,0.001,0.0002,0.0002,5.00E-05,0.0006,0.0018,0.001,0.0001,0.001,0.002,0.0001,0.0013,0.0051,7.00E-02,0.0006,0.0003,0.002,0.001,0.001,0.0019,0.001,0.0074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
8.806,60.9,9.95,3.58,6.31,2.31,1.8,1.74,0.016,0.51,0.12,0.17,0.02,0.15,2.00E-05,0.0007,0.001,0.00019,0.0002,5.00E-05,0.001,0.0024,0.001,0.0001,0.002,0.003,0.0001,0.0033,0.0016,1.10E-01,0.0002,0.0003,0.002,0.001,0.001,0.0031,0.001,0.0046,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
10.346,43.5,8.31,2.02,22.7,1.36,1.16,0.97,0.003,0.19,0.16,0.07,0.02,0.32,4.00E-05,0.001,0.004,0.00068,0.0002,5.00E-05,0.0002,0.0022,0.001,0.0001,0.002,0.004,0.0001,0.0006,0.0056,5.30E-01,0.0004,0.0006,0.002,0.001,0.001,0.0007,0.001,0.0058,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9.966,28.7,8.99,1.06,36.5,2.09,0.25,0.33,0.002,0.21,0.19,0.02,0.03,0.35,3.00E-05,0.0006,0.003,0.00116,0.0002,5.00E-05,0.0001,0.0018,0.001,0.0001,0.005,0.006,0.0001,0.0004,0.0041,3.50E-01,0.0003,0.0012,0.002,0.001,0.001,0.0004,0.001,0.0051,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.451,30,8.26,1.41,29.8,1.86,0.26,0.57,0.003,0.24,0.23,0.07,0.03,0.53,7.00E-05,0.0009,0.006,0.00094,0.0002,5.00E-05,0.0002,0.0027,0.001,0.0001,0.003,0.006,0.0001,0.0007,0.0091,3.30E-01,0.0004,0.0008,0.002,0.001,0.001,0.0007,0.001,0.0094,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
